gene_id state1_rep1 state1_rep2 state2_rep1 state2_rep2
ECDH10B_0367 1095 740 920 483
ECDH10B_0368 4 71 322 50
ECDH10B_0369 176 389 602 546
ECDH10B_0370 473 814 1682 805
ECDH10B_0371 402 1286 2361 1274
ECDH10B_0372 1722 1337 2213 2537
ECDH10B_0373 118 344 524 166
ECDH10B_0374 332 935 1006 516
ECDH10B_0375 340 669 1482 566
ECDH10B_0376 468 1388 2289 1076
ECDH10B_0377 390 762 1236 629
ECDH10B_0378 248 344 371 214
ECDH10B_0379 571 1116 3723 1793
ECDH10B_0380 180 351 330 202
ECDH10B_0381 93 190 302 107
ECDH10B_0382 579 510 1285 459
ECDH10B_0383 59 539 653 299
ECDH10B_0384 1288 3797 5171 3300
ECDH10B_0385 332 1471 2786 1106
ECDH10B_0386 561 1997 3700 1216
ECDH10B_0387 1774 9279 16149 6954
ECDH10B_0388 1627 4599 10801 5683
ECDH10B_0389 225 658 1727 693
ECDH10B_0390 518 690 1864 654
ECDH10B_0391 361 293 618 444
ECDH10B_0392 3069 7092 15933 9930
ECDH10B_0393 1487 1588 3399 1824
ECDH10B_0394 2656 3516 7558 4121
ECDH10B_0395 1595 2431 2722 1476
ECDH10B_0396 995 1054 3122 3346
ECDH10B_0397 1587 2077 4508 2642
ECDH10B_0398 79 42 143 78
ECDH10B_0399 69 47 115 48
ECDH10B_0400 175 125 448 331
ECDH10B_0401 88 80 165 71
ECDH10B_0402 63 119 187 87
ECDH10B_0403 82 149 398 234
ECDH10B_0404 198 330 596 230
ECDH10B_0405 190 426 599 209
ECDH10B_0406 1 0 16 0
ECDH10B_0407 41 52 250 161
ECDH10B_0408 230 180 772 328
ECDH10B_0409 73 86 599 382
ECDH10B_0410 40 75 118 169
ECDH10B_0412 11 379 459 204
ECDH10B_0413 47 394 573 256
ECDH10B_0414 132 406 741 154
ECDH10B_0415 124 737 1627 477
ECDH10B_0416 236 665 1600 784
ECDH10B_0417 715 1208 3398 1326
ECDH10B_0418 564 908 1871 1135
ECDH10B_0419 245 475 913 368
ECDH10B_0420 28 84 287 224
